,rel,query,author_name
25584,4,Network Security,Marcel Winandy
25671,1,Robotics,Kurt Konolige
39712,2,Performance Engineering,Peter Le
7877,4,Artificial Intelligence,Graham Taylor
24240,3,Cloud Computing,Waleed Khan
36987,1,Autonomous Systems,Alberto Elfes
24163,2,Mobile Computing,Haozhe Jia
7919,5,Machine Intelligence,Richard Bowden
24967,1,Edge Computing,Collette Gavan
22443,4,Human-Computer Interaction,Ahmed Kharrufa
38387,1,Computational Finance,Eckhard Platen
25243,1,Cybersecurity,Roberto Di Pietro
31681,1,Mobile Computing,Peter Parnes
24236,3,Cloud Computing,Dimple Patel
8658,3,Statistical Learning,Lorenzo Rosasco
34085,5,Wireless Communications,Taro Eichler
22230,5,Computer Graphics,Mihai Pop
30090,1,Network Security,Andreas Zeller
10841,1,Data Mining,Matthias Schlesner
24987,1,Cybersecurity,Karen Scarfone
39146,1,IT Governance,Federico Frattini
32267,2,Operating Systems,Jie Xu
22313,1,Human-Computer Interaction,Paul Cairns
39312,1,Performance Engineering,Zheng Chen
44857,2,Web Services,Shuai Zhang
38881,1,Discrete Mathematics,Alan Szepieniec
32008,5,Deep Learning,Gavin Brown
42485,2,Virtualization Technology,Thomas Fox
25486,3,Information Security,Marianne Junger
35535,5,Embedded Systems,Yasir Mahmood Qureshi
36939,5,Computational Chemistry,Amiram Goldblum
25615,5,Information Security,Ali Safaa Sadiq
28944,1,Big Data Analytics,Anders M. Dale
20358,2,Computer Graphics,Wolfram Burgard
8687,3,Reinforcement Learning,Huiyu Zhou
35434,4,Embedded Systems,Eka Suwartadi
42529,3,Virtualization Technology,William H. Woodall
23456,2,Virtual Reality,Milena Vuckovic
39734,2,Performance Engineering,Haiyang Li
28670,4,Software Engineering,Nicole Redaschi
23035,1,Cryptography,Sana Belguith
33911,5,Wireless Communications,Quang-Doanh Vu
20380,2,Computer Graphics,Ben Shneiderman
25546,4,Cybersecurity,Seungjoo Kim
10722,5,Deep Learning,Paul Pu Liang
19689,2,Computer Graphics,Olaf Ronneberger
39946,1,Remote Sensing,Feng Gao
37105,3,Autonomous Systems,John C. Murray
30348,3,Network Security,Jilles Vreeken
38978,3,Health Informatics,Eduardo Massad
39266,1,Network Management,Ofer Biran
25554,4,Cybersecurity,James Pierce
31891,3,Computational Biology,Gerrit Hoogenboom
8725,3,Reinforcement Learning,Marcus Liwicki
19679,2,Computer Vision,Antonio Torralba
33780,2,Wireless Communications,Robert Edwards
42308,3,System Integration,Philipp Mayer
34635,3,High-Performance Computing,Gang Wu
738,1,Artificial Intelligence,Sepp Hochreiter
42532,3,Virtualization Technology,Ramprasaath R. Selvaraju
45122,5,Web Services,Soonho Kong
37330,5,Autonomous Systems,Rafael Mosberger
42415,1,Text Analytics,Sophia Ananiadou
34086,5,Wireless Communications,Huazhou Hou
31914,4,Computational Biology,Pierre Rouzé
30042,4,Database Systems,Manh Cuong Pham
30013,2,Database Systems,Tony Ross-Hellauer
32253,1,Operating Systems,Martin Braun
29491,4,Big Data Analytics,Sylvia K. Plevritis
11492,1,Computer Vision,Ion Stoica
22118,4,Computer Vision,Jim Hendler
32198,5,Computer Architecture,José Luis Gutiérrez Rivas
9807,4,Reinforcement Learning,Jian Zhang
24143,1,Parallel Computing,Jos Martin
20430,3,Computer Graphics,Allen Newell
2793,1,Reinforcement Learning,Wei Liu
29855,3,Software Engineering,Vineet Bafna
26295,5,Robotics,Alessandro Giusti
38972,2,Health Informatics,Ameen Abu-Hanna
23498,2,Augmented Reality,Anthony Randal McIntosh
19910,2,Computer Graphics,Yang Chen
29922,4,Software Engineering,Kannan Ramchandran
11485,1,Scientific Computing,Scott Shenker
37117,4,Autonomous Systems,Nazre Batool
40972,4,Remote Sensing,Carlos Roberto de Souza Filho
37429,3,Business Intelligence,Young-Chan Lee
23484,4,Virtual Reality,Noorin Suhaila Asjad
37358,2,Business Intelligence,John Boylan
29492,4,Big Data Analytics,Michel Dumontier
41595,3,Software Testing,Mike Hinchey
45133,5,Web Services,Surendar Chandra
31887,2,Computational Biology,Sven Bergmann
10717,5,Machine Learning,Adrian Weller
11048,3,Data Mining,Tao Wu
24154,1,Cloud Computing,Zahra Abbasi
11596,2,Scientific Computing,Jeffrey Ullman
41575,3,Software Testing,Paris Avgeriou
20432,3,Computer Vision,Dawn Song
36912,2,Computational Chemistry,Miroslav Urban
31936,5,Computational Biology,Augustin Luna
41954,1,System Integration,Chris Paredis
29916,1,Software Testing,Lior Rokach
21099,1,Software Engineering,Scott Kirkpatrick
20374,2,Scientific Computing,Eibe Frank
30080,5,Database Systems,Burkhard Hoppenstedt
25523,4,Cybersecurity,Spiros Mancoridis
10843,1,Data Mining,Erich Schubert
28777,5,Bioinformatics,Dietmar Schomburg
45120,5,Web Services,Daniele Angelosante
28666,3,Bioinformatics,Werner Mewes
36887,2,Ubiquitous Computing,Thomas Johnson
35347,1,Embedded Systems,Christian Haubelt
32125,2,Computer Architecture,Roc Meseguer
22482,1,Quantum Computing,Georg Kresse
25383,2,Cybersecurity,Zhengdao Wang
36917,3,Computational Chemistry,Josep M. Luis
11335,1,Scientific Computing,Yoshua Bengio
36152,2,Pattern Recognition,Ge Yang
729,1,Information Retrieval,Mohammad Fallah
22484,1,Quantum Computing,Jacob Taylor
25685,1,Robotics,Dario Floreano
23902,1,Sensor Networks,Marcus Lundén
